Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AVTR,Avantor Inc.,0.091,5,$9.90,2.82,$14.19,$7.27,95.19,$15.93
KLAC,KLA Corp.,0.091,3,$301.71,5.78,$182.22,$82.78,120.13,$307.03
MAR,Marriott Int'l.,0.090,4,$370.59,7.02,$358.60,$254.64,40.83,$410.15
MEDP,Medpace Holdings Inc.,0.090,4,$529.59,4.52,$615.63,$373.00,65.05,$677.90
HUT,Hut 8 Corp,0.090,2,$115.44,4.07,$81.15,$21.00,286.43,$140.80
HUM,Humana Inc.,0.090,2,$397.22,5.13,$381.23,$161.90,135.47,$428.88
GTX,Garrett Motion Inc.,0.090,2,$36.23,7.28,$25.80,$12.13,112.70,$36.25
ARES,Ares Management LP,0.090,2,$111.31,6.45,$139.84,$93.57,49.45,$181.32
GWRE,Guidewire Software Inc.,0.089,1,,7.27,$192.11,$102.30,87.79,$272.60
BNY,Bank of New York Mellon Corp.,0.088,10,$144.61,2.24,$162.29,$99.97,62.34,$165.69
KMX,CarMax Inc.,0.088,5,$52.89,3.50,$62.75,$30.26,107.37,$63.00
ECL,Ecolab Inc.,0.088,4,$278.61,4.22,$285.63,$242.49,17.79,$307.61
Q,Qnity Electronics Inc.,0.088,3,$163.31,7.23,$126.41,$72.67,73.95,$177.28
SHOP,Shopify Inc.,0.088,3,$114.18,4.50,$148.98,$94.00,58.49,$182.19
BL,BlackLine Inc.,0.088,1,,7.19,$31.88,$24.70,29.07,$59.57
YNDX,Yandex N.V.,0.088,1,,7.19,$20.00,$14.09,41.94,$20.36
DLTR,Dollar Tree Inc.,0.088,1,,7.25,$135.22,$84.71,59.63,$142.40
GNRC,Generac Holdings Inc.,0.087,6,$292.81,2.91,$202.99,$134.80,50.59,$296.44
JEF,Jefferies Financial Group Inc.,0.087,4,$49.98,3.44,$51.97,$35.00,48.49,$68.96
FLR,Fluor Corp.,0.087,2,$52.39,6.24,$52.13,$39.33,32.55,$57.93
RUSHA,Rush Enterprises Inc.,0.087,2,$72.98,7.03,$78.39,$45.26,73.20,$83.61
STX,Seagate Technology,0.086,3,$965.00,5.90,$800.72,$152.96,423.48,$1144.18
ALLY,Ally Financial Inc.,0.085,4,$45.95,4.78,$42.66,$35.43,20.41,$46.96
CEG,Constellation Energy Corp.,0.085,2,$248.37,3.97,$274.08,$228.28,20.06,$410.41
TOST,Toast Inc.,0.085,2,$27.82,6.98,$36.55,$22.26,64.20,$45.64
