Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price to earnings ratio forward,"Return on invested capital %, Trailing 12 months","Return on capital employed %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Current ratio, Quarterly","Gross margin %, Annual","Operating margin %, Annual","Net margin %, Annual","Interest coverage, Annual","Debt to equity ratio, Quarterly","EBITDA interest coverage, Annual",Country or region of registration,"Free cash flow margin %, Annual","Free cash flow, Annual","Free cash flow, Annual - Currency","Performance %, Year to date","Performance %, 6 months","Performance %, 1 year","Performance %, 5 years",Price,Price - Currency,"Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day",Sector,Industry,"Altman Z-score, Trailing 12 months","Piotroski F-score, Trailing 12 months"
UNVR,PT Unilever Indonesia Tbk,3871047009.375,USD,17.65133006783727,14.549341624518146,108.898761711969,95.4181294587049,19.8013304417919,123.825007167969,0.571402395648755,46.9751258324826,15.3247263970551,11.0736184785988,41.419162689951605,0.181023112409377,47.077046739093646,Indonesia,15.449797377935973,296112000,USD,-32.82442748091603,-23.14410480349345,0.2849002849002849,-59.06976744186046,1760,IDR,1745.73408922561,1897.070436004173,52.07824282450493,Consumer non-durables,Household/Personal care,5.6670037434063,7
MCHB,Mechanics Bancorp,3867213557.4825726,USD,13.377631894964374,14.875362091773239,14.2352814344708,9.372266755710742,1.95043287204836,18.187003057313,0.0404032807647615,,37.48647968999482,40.25628751223266,,0.10728676683528302,,United States,21.111103588049165,187079000,USD,14.687714481811946,5.226700251889168,-99.95973493975903,-99.94609677419355,16.71,USD,18.419037134898424,2601.629330468105,59.031184152802986,Finance,Regional banks,,
600396,"Huadian Liaoning Energy Development Co., Ltd. Class A",3866530625.67408,USD,610.9090909090909,,0.643032006833561,6.429442542788354,0.279224918099527,2.68660331201555,0.44495280316459,20.3001668935603,13.2911343864936,0.657379069863906,2.585847998608801,6.20669300678317,5.4006615518372,China,-2.680258815603269,-16579650.188000001,USD,487.4125874125875,431.6455696202531,391.22807017543863,649.9999999999999,16.8,CNY,14.940604787921687,10.060736121860948,56.31059993056369,Utilities,Electric utilities,0.810212244296454,6
867,China Medical System Holdings Ltd.,3864103318.2714295,USD,18.01111611837164,12.432270410653961,8.75985883298113,9.163562585138923,7.93574469351842,8.76878843603185,6.32890241985045,71.4989592133909,19.2005584958119,18.1305587466625,77.68443591713867,0.0396694293740226,90.83554179657382,China,12.78339724589963,146253115.35239998,USD,-8.333333333333332,-21.06649111257406,-9.984984984984985,-30.128205128205128,11.99,HKD,11.86104074729748,12.327074667149393,50.98125841501881,Health technology,Pharmaceuticals: major,12.4009164611022,5
AIA,Athens International Airport S.A,3863181418.36713,USD,15.685984624482554,,,,,,1.59362262898951,65.5238611251071,41.6885010457956,29.435152316154,4.427202153332192,1.2779664811617,5.715736700414063,Greece,22.50092073193562,186077901.1824,USD,-1.2104283054003797,-7.3362445414847155,1.337153772683847,12.872340425531906,10.61,EUR,10.494097400092148,10.398347185892526,53.48558550230086,Transportation,Other transportation,,
EDUCA/18,Fibra Educa,3862836005.4000006,USD,14.03084684305946,,10.7960083562153,,10.7192505479613,13.7331257737687,12.1726260871708,89.3168890861857,85.623302921221,109.602421511186,4.5724891932372556,0.29860423683585496,4.577002148092718,Mexico,75.74537600011054,194596414.85999998,USD,3.6893203883495116,8.979591836734691,0.28169014084506777,-5.786873676781935,53.4,MXN,53.11264664092953,,49.884300896869895,Miscellaneous,Investment trusts,4.7059472076043,
V03,Venture Corporation Limited,3861019747.4789996,USD,21.056529252036533,,8.42716244684773,9.369359954812072,6.4334826930868,8.46584292065828,2.97147977751985,14.6160392690205,9.58490315906344,8.9546844625623,247.13224821973552,0.0058624637429637305,281.60223804679555,Singapore,10.698606480051227,210743997.6,USD,12.681638044914123,2.771084337349381,30.727969348658984,-12.557662737057933,17.06,SGD,16.68355606756875,16.03569754387766,59.14840205771447,Electronic technology,Computer processing hardware,5.47026966239844,5
BULL,Webull Corporation,3861003567.606557,USD,,33.507640757475755,-1.16045226816597,,-0.34993408156102,-1.21930891951819,1.35127339527188,76.8854139614925,10.2406210307243,4.3381510613914,10.705668013748252,0.0751518601411387,11.297854183804226,United States,98.3433136752082,561537180,USD,-7.86802030456853,9.255079006772013,-52.795838751625496,-26.51821862348179,7.26,USD,7.11461945168288,7.8411710818263884,49.51903200241966,Technology services,Packaged software,0.222124532814859,
KPRMILL,K.P.R. Mill Limited,3860448133.1692805,USD,43.88560157790927,,16.0772002478839,19.01400811414769,13.5450307791871,16.1968671726046,4.37224660397074,15.326305852249,13.5463004799369,13.4540706132976,17.632174616006466,0.1046300196574,21.98949070331447,India,12.54046701850653,86363083.8,USD,18.049660441426152,22.765393952769802,14.102564102564102,210.14775578477838,1112.5,INR,1071.328259841454,1008.0528850712185,56.16967688677775,Consumer non-durables,Apparel/Footwear,18.1234577505715,6
1128,Wynn Macau Ltd.,3858038698.00089,USD,18.414281119330973,10.409090909090908,5.93586585316236,15.82080661960103,4.08458573481334,,1.23064224367523,45.1968846966958,28.6281575452962,10.0615000925196,1.5941139744888242,,2.446328685873965,Macau,20.362785655547494,423670200.65999997,USD,-3.865546218487402,-6.2295081967213095,-9.921259842519683,-36.5149833518313,5.725,HKD,5.515500555419129,5.733991167539224,59.02242879756353,Consumer services,Casinos/Gaming,0.602963396596406,6
